filter_name,filter_name_description
g_hsc,HSC g filter
r_old_hsc,HSC r filter (old r filter)
r2_hsc,HSC r2 filter
i_old_hsc,HSC i filter (old i filter)
i2_hsc,HSC i2 filter
z_hsc,HSC z filter
y_hsc,HSC Y filter
g_ps1,Pan-STARRS1 g filter
r_ps1,Pan-STARRS1 r filter
i_ps1,Pan-STARRS1 i filter
z_ps1,Pan-STARRS1 z filter
y_ps1,Pan-STARRS1 y filter
bp_gaia,Gaia BP filter
rp_gaia,Gaia RP filter
g_gaia,Gaia G filter
u_sdss,SDSS u filter
g_sdss,SDSS g filter
r_sdss,SDSS r filter
i_sdss,SDSS i filter
z_sdss,SDSS z filter
