# name,# catalog-job 2021-10-06
# SQL,"# -- Note that in practice you should not use the pixelflags marked by /**/
# -- in searching deep/udeep fields though they are useful in wide fields.
# -- In fact, the longer the total exposure time is,
# -- the more likely pixels are affected by clipping, cosmic rays, and interpolation.
# -- If you exclude objects affected by these things in deep/udeep fields,
# -- you will miss many wanted objects.
# 
# SELECT
#         object_id
#       , ra
#       , dec
# 	  , tract
# 	  , patch
#       , g_cmodel_flux
#       , g_cmodel_fluxerr
#       , r_cmodel_flux
#       , r_cmodel_fluxerr
#       , i_cmodel_flux
#       , i_cmodel_fluxerr
#       , z_cmodel_flux
#       , z_cmodel_fluxerr
#       , y_cmodel_flux
#       , y_cmodel_fluxerr
#       , g_psfflux_flux
#       , g_psfflux_fluxerr
#       , r_psfflux_flux
#       , r_psfflux_fluxerr
#       , i_psfflux_flux
#       , i_psfflux_fluxerr
#       , z_psfflux_flux
#       , z_psfflux_fluxerr
#       , y_psfflux_flux
#       , y_psfflux_fluxerr
#       , i_extendedness_value
#       , a_g
#       , a_r
#       , a_i
#       , a_z
#       , a_y
#     FROM
#         pdr3_dud.forced
#         JOIN pdr3_dud.forced2 USING (object_id)
#     WHERE
#         isprimary
#     AND NOT g_sdsscentroid_flag
#     AND NOT r_sdsscentroid_flag
#     AND NOT i_sdsscentroid_flag
#     AND NOT z_sdsscentroid_flag
#     AND NOT y_sdsscentroid_flag
#     AND NOT g_pixelflags_edge
#     AND NOT r_pixelflags_edge
#     AND NOT i_pixelflags_edge
#     AND NOT z_pixelflags_edge
#     AND NOT y_pixelflags_edge
#     AND NOT g_pixelflags_interpolatedcenter /**/
#     AND NOT r_pixelflags_interpolatedcenter /**/
#     AND NOT i_pixelflags_interpolatedcenter /**/
#     AND NOT z_pixelflags_interpolatedcenter /**/
#     AND NOT y_pixelflags_interpolatedcenter /**/
#     AND NOT g_pixelflags_saturatedcenter
#     AND NOT r_pixelflags_saturatedcenter
#     AND NOT i_pixelflags_saturatedcenter
#     AND NOT z_pixelflags_saturatedcenter
#     AND NOT y_pixelflags_saturatedcenter
#     AND NOT g_pixelflags_crcenter /**/
#     AND NOT r_pixelflags_crcenter /**/
#     AND NOT i_pixelflags_crcenter /**/
#     AND NOT z_pixelflags_crcenter /**/
#     AND NOT y_pixelflags_crcenter /**/
#     AND NOT g_pixelflags_bad
#     AND NOT r_pixelflags_bad
#     AND NOT i_pixelflags_bad
#     AND NOT z_pixelflags_bad
#     AND NOT y_pixelflags_bad
#     AND NOT g_cmodel_flag
#     AND NOT r_cmodel_flag
#     AND NOT i_cmodel_flag
#     AND NOT z_cmodel_flag
#     AND NOT y_cmodel_flag
#     LIMIT 100
# ;
# 
# -- * Flags pixelflags_* vs. pixelflags_*center
# --   ""any"" (without ""center"") flags are set when any of the pixels in the object's
# --   footprint is bad. The critera ""NOT pixelflags_*"" are too strict. Since most of
# --   the object's flux comes from its center, it is usually safe to accept bad
# --   conditions in the outskirt of the object.
# --
# -- * Condition ""isprimary"" is true
# --   - no children
# --   - in the inner region of a coadd patch (detect_ispatchinner)
# --   - in the inner region of a coadd tract (detect_istractinner)
# --   - not ""detected"" in a pseudo-filter (see config.pseudoFilterList)
# "
#
object_id,ra,dec,tract,patch,g_cmodel_flux,g_cmodel_fluxerr,r_cmodel_flux,r_cmodel_fluxerr,i_cmodel_flux,i_cmodel_fluxerr,z_cmodel_flux,z_cmodel_fluxerr,y_cmodel_flux,y_cmodel_fluxerr,g_psfflux_flux,g_psfflux_fluxerr,r_psfflux_flux,r_psfflux_fluxerr,i_psfflux_flux,i_psfflux_fluxerr,z_psfflux_flux,z_psfflux_fluxerr,y_psfflux_flux,y_psfflux_fluxerr,i_extendedness_value,a_g,a_r,a_i,a_z,a_y
36429186755198983,36.323572768250294,-6.051458589327096,8283,107,697.217285,45.0159721,1163.86646,49.593502,2151.90479,93.6605759,2684.91382,93.9046173,4135.96436,368.362793,451.958466,33.1446457,590.91571,28.6757545,1511.50696,68.9970779,1906.08667,70.02845,2396.2644,229.717102,1.0,0.10500595,0.0737634376,0.052924294,0.0409328751,0.0348399393
36429186755198988,36.33717754963229,-6.050329257477792,8283,107,886.593384,37.7311363,883.639526,34.4876213,713.276428,78.033371,845.24231,80.3050232,745.858337,272.837494,793.216309,33.6094017,708.900879,28.3813744,626.232666,67.4795609,741.174561,69.8630066,671.546265,240.477875,1.0,0.105221696,0.0739149973,0.0530330352,0.0410169773,0.0349115208
36429186755199001,36.329719682425484,-6.045705195105054,8283,107,358.195435,46.7362289,635.200378,47.8206062,1115.84802,104.40432,978.700562,88.010994,1770.7041,313.025787,248.3741,32.8282089,381.614197,30.8725109,778.752319,74.3989487,762.304749,71.0284653,1175.49585,234.680603,1.0,0.105027273,0.0737784207,0.0529350452,0.04094119,0.0348470137
36429186755199005,36.34218236544309,-6.045032181800362,8283,107,975.222717,52.9230385,1695.77686,62.1022453,3927.74951,112.474731,4927.229,108.004105,6064.25098,385.772247,544.21582,35.1036797,582.889404,30.9091549,2341.83496,75.5788574,3020.42139,72.842247,3107.70068,232.584152,1.0,0.105222702,0.0739156976,0.0530335419,0.0410173684,0.0349118561
36429186755199006,36.327711603925685,-6.044507911720864,8283,107,179.868301,40.7896309,357.106781,44.3637543,773.678894,93.4216232,1724.39648,84.8069763,3103.54932,301.180786,136.54454,31.8863239,211.753342,30.240036,610.015625,73.9809723,1401.03784,70.5281448,2188.49316,234.88588,1.0,0.104974419,0.0737412944,0.0529084057,0.0409205854,0.0348294787
36429186755199009,36.326932755420785,-6.0424831143224065,8283,107,10557.6729,48.9285316,13758.5029,46.0632782,15392.0518,79.0150146,15902.5029,77.6424942,16521.4609,246.811127,10598.2969,48.8972244,13890.2754,46.4485359,15396.7041,78.5287628,15919.041,77.3927155,16565.7637,247.189072,0.0,0.104931176,0.073710911,0.052886609,0.0409037285,0.0348151289
36429186755199012,36.32511110682729,-6.041738953428923,8283,107,458.796814,44.4140091,411.282562,47.6261215,513.658447,89.4980545,774.716064,90.3820572,1177.69177,325.088196,328.966644,33.4310036,214.083618,28.3090515,369.632233,67.832283,580.66394,69.264473,810.7005,227.62883,1.0,0.104887664,0.0736803487,0.0528646782,0.0408867635,0.0348006934
36429186755199015,36.3412128142582,-6.0407469797904705,8283,107,1539.84949,48.6321487,2034.46411,50.4168587,3012.8064,103.024193,3940.7373,98.7885818,5806.6748,363.958679,1041.26599,33.574955,1120.72681,28.6415768,2039.73511,71.4183197,2781.94434,70.5306778,3606.10864,236.27832,1.0,0.10510654,0.0738340989,0.0529749952,0.0409720875,0.0348733142
36429186755199028,36.33460001319063,-6.051385847195552,8283,107,221.769653,34.6463089,304.264923,30.9196014,294.754272,72.3249893,380.245239,74.8841705,532.602783,260.889038,207.801254,32.666832,264.184784,27.4664536,273.28064,67.3392868,325.851471,69.9661255,453.306976,240.935776,1.0,0.105195843,0.0738968328,0.0530200042,0.0410069004,0.0349029452
