target_type_id,target_type_name,target_type_description,created_at,updated_at
1,SCIENCE,the fiber is intended to be on a science target,2022-04-30 02:07:08.500763,2022-04-30 02:07:08.500763
2,SKY,"the fiber is intended to be on blank sky, and used for sky subtraction",2022-04-30 02:07:08.500763,2022-04-30 02:07:08.500763
3,FLUXSTD,"the fiber is intended to be on a flux standard, and used for flux calibration",2022-04-30 02:07:08.500763,2022-04-30 02:07:08.500763
4,UNASSIGNED,the fiber is not targeted on anything in particular,2022-04-30 02:07:08.500763,2022-04-30 02:07:08.500763
5,ENGINEERING,the fiber is an engineering fiber,2022-04-30 02:07:08.500763,2022-04-30 02:07:08.500763
6,SUNSS_IMAGING,the fiber goes to the SuNSS imaging leg,2022-04-30 02:07:08.500763,2022-04-30 02:07:08.500763
7,SUNSS_DIFFUSE,the fiber goes to the SuNSS diffuse leg,2022-04-30 02:07:08.500763,2022-04-30 02:07:08.500763
8,DCB,fiber goes to DCB/DCB2,2023-05-05 20:34:28.861393,2023-05-05 20:34:28.861393
9,HOME,cobra is going to home position,2023-05-05 20:34:28.861393,2023-05-05 20:34:28.861393
10,BLACKSPOT,cobra is going to black spot position,2023-05-05 20:34:28.861393,2023-05-05 20:34:28.861393
